*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CyGate4
*Date=12:25:15
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
156;;;116.966;-2.83711;0;Bottom;TXT24
157;;;90.6295;-19.6892;0;Bottom;Via90
158;;THT;8.99657;-7.75125;90;Bottom;J2
159;;;93.1695;-62.8692;0;Bottom;Via87
160;;;22.2363;-107.294;0;Bottom;TXT11
161;;;95.7096;-71.7591;0;Bottom;Via108
162;;;80.4913;-22.1868;-90;Bottom;TXT81
163;;;149.087;-37.4382;0;Bottom;Via58
164;;;64.1007;-4.02591;0;Bottom;TXT25
165;;THT;54.7165;-7.75125;90;Bottom;J8
166;150;THT;154.13;-66.6791;0;Bottom;R16
167;;;136.316;-3.01866;0;Bottom;TXT25
168;;;29.9192;-3.84236;0;Bottom;TXT66
169;;;160.664;-17.1068;-90;Bottom;TXT93
170;;;118.525;-42.5473;0;Bottom;Via71
171;;;121.397;-2.87959;0;Bottom;TXT26
172;4.7k;THT;47.4496;-81.9191;-90;Bottom;R2
173;;THT;160.48;-26.1291;90;Bottom;XTAL1
174;;THT;127.107;-7.75125;90;Bottom;J19
175;;;163.866;-120.866;0;Bottom;TXT79
176;;;9.49068;-85.3058;90;Bottom;TXT74
177;;;192.794;-62.0223;-90;Bottom;TXT25
178;;;85.3783;-22.3777;-90;Bottom;TXT85
179;;THT;171.91;-22.2291;0;Bottom;IC4
180;;;146.485;-34.9301;0;Bottom;Via56
181;;THT;86.8196;-27.3091;-90;Bottom;J23
182;;THT;62.6041;-19.6893;-90;Bottom;U9
183;;;42.3984;-44.5695;-90;Bottom;TXT36
184;;;154.129;-71.7592;0;Bottom;Via102
185;;;11.8425;-41.2321;0;Bottom;Via62
186;;;117.195;-71.716;0;Bottom;TXT10
187;10k;THT;140.16;-19.6891;90;Bottom;R22
188;;;15.6914;-43.8477;0;Bottom;Via35
189;;;70.3095;-60.3292;0;Bottom;Via77
190;;;10.7607;-3.8848;0;Bottom;TXT25
191;;;37.5392;-3.98348;0;Bottom;TXT67
192;;;85.3379;-7.45569;0;Bottom;TXT78
193;;;69.0395;-29.8492;0;Bottom;Via80
194;;;189.69;-3.17906;0;Bottom;Hole2
195;5V;78xxl;47.4583;-108.182;0;Bottom;IC2
196;;THT;134.727;-7.75125;90;Bottom;J20
197;;;136.36;-37.4382;0;Bottom;Via59
198;;;58.8868;-64.0986;0;Bottom;Via28
199;;;58.8868;-50.1644;0;Bottom;Via26
200;;;113.508;-94.6606;0;Bottom;Via64
201;;;22.1581;-3.84236;0;Bottom;TXT65
202;;;24.8717;-19.8305;-90;Bottom;TXT80
203;;;95.7097;-3.17906;0;Bottom;Hole5
204;;;156.669;-106.049;0;Bottom;Via106
205;;5 mm [THT];159.209;-74.9902;0;Bottom;LED5
206;;;95.7097;-120.019;0;Bottom;Hole4
207;;;96.9795;-59.0592;0;Bottom;Via70
208;;;152.895;-117.512;0;Bottom;Via44
209;;;75.3895;-67.9492;0;Bottom;Via74
210;;;94.4652;-84.4423;0;Bottom;Via3
211;;;91.8642;-70.5081;0;Bottom;Via16
212;;5 mm [THT];159.209;-88.9602;0;Bottom;LED4
213;;THT;149.967;-7.75125;90;Bottom;J22
214;;5 mm [THT];73.4285;-85.729;-90;Bottom;LED1
215;;;151.589;-64.1392;0;Bottom;Via73
216;;;156.669;-14.6092;0;Bottom;Via69
217;;THT;188.928;-105.696;0;Bottom;J13
218;;;56.3787;-67.9072;0;Bottom;Via24
219;10k;THT;121.11;-19.6891;90;Bottom;R19
220;;;51.2696;-57.7819;0;Bottom;Via21
221;;;40.2528;-19.6894;-90;Bottom;TXT80
222;;;56.547;-4.01378;0;Bottom;TXT25
223;;;133.296;-104.507;0;Bottom;TXT20
224;;;32.164;-44.4909;-90;Bottom;TXT32
225;10k;THT;65.2296;-33.6591;-90;Bottom;R12
226;10k;THT;27.1296;-33.6591;-90;Bottom;R7
227;;300 mil [THT];46.1796;-32.4145;90;Bottom;D6
228;;;39.9831;-44.5695;-90;Bottom;TXT35
229;;;94.4652;-36.2306;0;Bottom;Via31
230;;;98.2737;-71.7158;0;Bottom;Via4
231;10k;THT;151.59;-19.6891;90;Bottom;R24
232;10k;THT;109.68;-19.6891;90;Bottom;R17
233;;;15.6914;-55.2738;0;Bottom;Via7
